neighborhood,unique_fire_zones,unique_police_zones
Allegheny Center,2,1
Allegheny West,1,1
Allentown,3,1
Banksville,1,1
Bedford Dwellings,1,1
Beechview,1,1
Beltzhoover,3,1
Bloomfield,3,1
Bluff,1,1
Bon Air,1,1
Brighton Heights,1,1
Brookline,2,1
California-Kirkbride,1,1
Carrick,2,1
Central Business District,2,1
Central Lawrenceville,1,1
Central Northside,1,1
Central Oakland,1,1
Chateau,1,1
Crafton Heights,1,1
Crawford-Roberts,1,1
Duquesne Heights,1,1
East Allegheny,1,1
East Hills,1,1
East Liberty,2,1
Elliott,1,1
Fairywood,1,1
Fineview,1,1
Garfield,1,1
Glen Hazel,1,1
Greenfield,2,1
Hays,1,1
Hazelwood,2,1
Highland Park,4,1
Homewood North,1,1
Homewood South,1,1
Homewood West,1,1
Knoxville,1,1
Larimer,1,1
Lincoln Place,1,1
Lincoln-Lemington-Belmar,2,1
Lower Lawrenceville,3,1
Manchester,1,1
Marshall-Shadeland,1,1
Middle Hill,1,1
Morningside,1,1
Mount Washington,2,1
North Oakland,2,1
Oakwood,1,1
Overbrook,2,1
Perry North,1,1
Perry South,2,1
Point Breeze,2,1
Point Breeze North,1,1
Polish Hill,1,1
Regent Square,1,1
Shadyside,2,1
Sheraden,1,1
South Oakland,2,1
South Side Flats,2,1
South Side Slopes,1,1
Spring Hill-City View,3,1
Squirrel Hill North,2,1
Squirrel Hill South,4,1
Stanton Heights,1,1
Strip District,3,1
Swisshelm Park,1,1
Terrace Village,2,1
Troy Hill,1,1
Upper Hill,1,1
Upper Lawrenceville,1,1
West End,1,1
West Oakland,1,1
Westwood,1,1
Windgap,1,1
