neighborhood,unique_fire_zones,unique_police_zones,total_zones
Squirrel Hill South,4,1,5
Highland Park,4,1,5
Strip District,3,1,4
Allentown,3,1,4
Lower Lawrenceville,3,1,4
Beltzhoover,3,1,4
Bloomfield,3,1,4
Spring Hill-City View,3,1,4
South Side Flats,2,1,3
Squirrel Hill North,2,1,3
Allegheny Center,2,1,3
South Oakland,2,1,3
East Liberty,2,1,3
Perry South,2,1,3
Shadyside,2,1,3
Point Breeze,2,1,3
Hazelwood,2,1,3
Central Business District,2,1,3
Carrick,2,1,3
Terrace Village,2,1,3
Brookline,2,1,3
Overbrook,2,1,3
North Oakland,2,1,3
Mount Washington,2,1,3
Lincoln-Lemington-Belmar,2,1,3
Greenfield,2,1,3
Perry North,1,1,2
Point Breeze North,1,1,2
Oakwood,1,1,2
South Side Slopes,1,1,2
Polish Hill,1,1,2
Regent Square,1,1,2
Sheraden,1,1,2
Middle Hill,1,1,2
Stanton Heights,1,1,2
Swisshelm Park,1,1,2
Troy Hill,1,1,2
Upper Hill,1,1,2
Upper Lawrenceville,1,1,2
West End,1,1,2
West Oakland,1,1,2
Westwood,1,1,2
Morningside,1,1,2
Knoxville,1,1,2
Marshall-Shadeland,1,1,2
Duquesne Heights,1,1,2
Banksville,1,1,2
Bedford Dwellings,1,1,2
Beechview,1,1,2
Bluff,1,1,2
Bon Air,1,1,2
Brighton Heights,1,1,2
California-Kirkbride,1,1,2
Central Lawrenceville,1,1,2
Central Northside,1,1,2
Central Oakland,1,1,2
Chateau,1,1,2
Crafton Heights,1,1,2
Crawford-Roberts,1,1,2
East Allegheny,1,1,2
Manchester,1,1,2
East Hills,1,1,2
Elliott,1,1,2
Fairywood,1,1,2
Fineview,1,1,2
Garfield,1,1,2
Glen Hazel,1,1,2
Hays,1,1,2
Homewood North,1,1,2
Homewood South,1,1,2
Homewood West,1,1,2
Allegheny West,1,1,2
Larimer,1,1,2
Lincoln Place,1,1,2
Windgap,1,1,2
